,address,apartment_size,begin_date,category,created_at,district1,id,latitude,longitude,name,normalized_price,number_of_bedrooms,occupied_dates,provider_code,city_code
1579,Nassaukade 311,70.0,2018-02-16,apartment,2017-12-21T18:17:23,amsterdam-west,832111,52.36917997,4.87505944,3 rooms apartment in Nassaukade 311,1990.0,3,[],pararius,amsterdam
1580,Johannes van der Steurstraat,115.0,2018-02-16,apartment,2017-10-21T07:48:00,amsterdam-nieuw-west,615447,52.34776147,4.82947738,4 rooms apartment in Johannes van der Steurstraat,1396.0,4,[],pararius,amsterdam
1581,Govert Flinckstraat,55.0,2018-02-16,apartment,2018-02-04T06:43:35,amsterdam-zuid,1000877,52.355599100000006,4.8961775,2 rooms apartment in Govert Flinckstraat,1500.0,2,[],pararius,amsterdam
1582,Rietwijkerstraat,90.0,2018-02-16,apartment,2018-01-12T09:58:21,amsterdam-zuid,907408,52.34929731,4.85032374,3 rooms apartment in Rietwijkerstraat,1700.0,3,[],pararius,amsterdam
1583,Apollolaan,115.0,2018-02-16,apartment,2017-11-24T05:10:34,amsterdam-zuid,698945,52.34991508,4.88035996,3 rooms apartment in Apollolaan,2950.0,3,[],pararius,amsterdam
1584,Oranje-Vrijstaatplein,81.0,2018-02-16,apartment,2017-12-16T08:40:19,amsterdam-oost,822303,52.35687373,4.92903079,2 rooms apartment in Oranje-Vrijstaatplein,1500.0,2,[],pararius,amsterdam
1588,Ruysdaelstraat,120.0,2018-02-16,apartment,2018-01-13T06:17:18,amsterdam-zuid,908990,52.35453686,4.88506299,4 rooms apartment in Ruysdaelstraat,3250.0,4,[],pararius,amsterdam
1590,Brouwersgracht,120.0,2018-02-16,apartment,2018-01-27T06:53:19,amsterdam-centrum,963089,52.38142885,4.88735817,3 rooms apartment in Brouwersgracht,2800.0,3,[],pararius,amsterdam
1591,Wilhelminastraat,68.0,2018-02-16,apartment,2018-01-20T06:14:20,amsterdam-west,935087,52.36123769,4.86136596,2 rooms apartment in Wilhelminastraat,1450.0,2,[],pararius,amsterdam
1594,Spuistraat,85.0,2018-02-16,apartment,2017-11-15T07:43:03,amsterdam-centrum,682345,52.37139993,4.88947376,3 rooms apartment in Spuistraat,2760.0,3,[],pararius,amsterdam
1598,Johan Hofmanstraat 163,98.0,2018-02-16,apartment,2018-02-02T06:24:07,amsterdam-nieuw-west,992394,52.352862200000004,4.796777099999999,3 rooms apartment in Johan Hofmanstraat 163,1500.0,3,[],pararius,amsterdam
1600,Vossiusstraat,115.0,2018-02-16,apartment,2017-10-21T06:54:50,amsterdam-zuid,612256,52.36122796,4.88183093,3 rooms apartment in Vossiusstraat,2450.0,3,[],pararius,amsterdam
1601,Cornelis Vermuydenstraat 43,75.0,2018-02-16,apartment,2018-01-18T06:43:40,amsterdam-centrum,927034,52.36770729,4.92618053,2 rooms apartment in Cornelis Vermuydenstraat 43,1593.0,2,[],pararius,amsterdam
1602,August Vermeylenstraat,130.0,2018-02-16,apartment,2018-02-08T06:56:48,amsterdam-nieuw-west,1013567,52.37257897,4.83349257,3 rooms apartment in August Vermeylenstraat,1550.0,3,[],pararius,amsterdam
1604,Oude Waal,100.0,2018-02-16,apartment,2017-12-09T07:51:12,amsterdam-centrum,799247,52.37242368,4.90481655,3 rooms apartment in Oude Waal,2250.0,3,[],pararius,amsterdam
1608,Albert Cuypstraat,50.0,2018-02-16,apartment,2018-01-06T10:45:51,amsterdam-zuid,875876,52.35471985,4.88795259,2 rooms apartment in Albert Cuypstraat,1295.0,2,[],pararius,amsterdam
1611,Singel,140.0,2018-02-16,apartment,2018-01-21T06:36:44,amsterdam-centrum,936632,52.36805831,4.88811082,3 rooms apartment in Singel,3150.0,3,[],pararius,amsterdam
